assets ID,bldgID,BuildingYear,AssetFloor
91600143,52426142,2000,4
91600144,52426142,2000,5
91600145,52426142,2000,6
91600146,52426142,2000,6
91600147,52426142,2000,6
91600148,52426142,2000,0
91600149,52426142,2000,0
91600150,52426142,2000,1
91600151,52426142,2000,1
91600152,52426142,2000,0
91600153,52426142,2000,0
91600154,52426142,2000,1
91600155,52426142,2000,1
91600156,52426142,2000,1
91600157,52426142,2000,1
91600158,52426142,2000,2
91600159,52426142,2000,2
91600160,52426142,2000,2
91600161,52426142,2000,3
91600162,52426142,2000,3
91600163,52426142,2000,3
91600164,52426142,2000,4
91600165,52426142,2000,2
91600166,52426142,2000,4
91600167,52426142,2000,4
91600168,52426142,2000,5
91600169,52426142,2000,6
91600170,52426142,2000,5
91600171,52426142,2000,6
91600172,52426142,2000,6
91600173,52426142,2000,0
91600174,52426142,2000,0
91600175,52426142,2000,1
91600176,52426142,2000,2
91600177,52426142,2000,1
91600178,52426142,2000,1
91600179,52426142,2000,2
91600180,52426142,2000,2
91600181,52426142,2000,2
91600182,52426142,2000,3
91600183,52426142,2000,3
91600184,52426142,2000,3
91600185,52426142,2000,4
91600186,52426142,2000,4
91600187,52426142,2000,2
91600188,52426142,2000,4
91600189,52426142,2000,5
91600190,52426142,2000,6
91600191,52426142,2000,5
91600192,52426142,2000,6
91600193,52426142,2000,6
91600194,52427111,1995,
91600195,52427111,1995,
91600196,52427113,1991,
91600197,52426243,,
91600198,52426266,1990,0
91600199,52426266,1990,2
91600200,52426266,1990,0
91600201,52426266,1990,0
91600202,52426266,1990,1
91600203,52426266,1990,1
91600204,52426266,1990,1
91600205,52426266,1990,1
91600206,52426266,1990,2
91600207,52426266,1990,2
91600208,52426266,1990,0
91600209,52426266,1990,0
91600210,52426266,1990,1
91600211,52426266,1990,1
91600212,53320430,1955,1
91600213,53320430,1955,1
91600214,52426312,1960,
91600215,52426312,1960,0
91600216,52426312,1960,3
91600217,52426312,1960,3
91600218,52426312,1960,0
91600219,52426312,1960,0
91600220,52426312,1960,1
91600221,52426312,1960,1
91600222,52426312,1960,1
91600223,52426312,1960,1
91600224,52426312,1960,3
91600225,52426312,1960,3
91600226,52425795,,1
91600227,52425795,,1
91600228,53320187,2007,0
91600229,52427267,,
91600230,52425870,,
91600231,53320204,1991,
91600232,53320204,1991,0
91600233,53320204,1992,1
91600234,53320204,1991,1
91600235,53320204,1991,2
91600236,53320204,1991,0
91600237,53320204,1991,0
91600238,53320204,1991,1
91600239,53320204,1991,1
91600240,53320204,1992,2
91600241,52427277,,
91600242,52427278,,
91600243,52427290,,1
91600244,52427290,,1
91600245,53320458,,
91600246,53320461,,
91600247,53320461,,0
91600248,53320461,,0
