locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
71000316,50.6,13.3,64.2,96.2,13.6,7.7,6.7,7,8.3,39.8,8.8,27.7,35.6,2.3,34.9,34.9,12.2,6.8,5.1,4.4,1.8,40.3,35.9,13.8,7,3.1,0.8,0.79,1.09,1.03,1.23,4210,69000,10.4,13.8,17.3,20.6,10.2,10.7,7.1,7.7,1.5,0.8,7100,1,31,58.8,0,41.2
71000321,17.3,30.2,66.3,97,11.8,2.8,4.7,5.1,3.6,47.9,20.2,40.9,29.7,3,29.4,20.7,11.4,15.1,11.3,7.9,4.3,32,28,23.3,10.9,5.8,0.87,1.12,0.78,0.89,1.6,2780,96000,10.2,12,7.3,14.2,10,9.4,11.7,16.7,5.4,3,7100,1,31,67.4,0,32.6
71000322,36.5,0,63.2,94.9,10.9,3.9,4.5,4.2,4.2,39.3,5.5,34.1,30.6,2.7,27.3,31.8,15.2,12.2,6.7,2.5,4.3,33.6,31.9,22.3,5,7.3,0.99,1.15,1.06,0.99,0.93,3210,70400,14.8,13.8,15.3,12.7,8.4,16.5,10.8,5.8,1.8,0,7100,1,31,69.9,0,30.1
71000323,41.8,1,58.4,92.8,13.6,3.2,5.6,8.2,3.4,38.9,15.3,33.3,43.5,2.8,25.7,26.9,16.2,14.1,10.6,3.1,3.4,38,31.3,20.7,5.4,4.6,0.87,1.14,0.98,0.99,1.17,5100,84700,12,9,13.9,13.8,13.7,13.5,10.7,8.5,3.2,1.6,7100,1,31,71.3,0,28.7
71000325,17.3,30.2,56.2,97,9.9,1.8,4.8,4.6,5.1,41.8,24.8,37.2,36.8,2.9,25,32.4,12.1,11.1,6.4,7.1,5.9,37.4,26.9,15.5,11.5,8.7,0.91,1.26,1.02,0.85,1.4,3270,89300,9.2,12.9,14.4,9.4,14.4,12.4,5.6,8,9.3,4.4,7100,1,31,65.5,0,34.5
71000412,10,0,74.8,100,4.8,0.8,1.8,2,2.2,27.5,63.6,58.1,13.5,3.7,21.7,9.1,14.9,14.3,22.8,10.7,6.5,27.8,30.8,27.5,10.2,3.6,1.22,1.82,1.3,0.95,0.29,1870,134800,10.3,11.1,6.7,5,9.2,6.4,7.6,7.4,18.3,18.1,7100,1,31,60.9,0,39.1
71000414,10,0,73,100,3.1,3.6,2.4,2.1,3.7,44.2,46,42.9,23.2,3,23.4,19.9,19.3,15.2,14,5.9,2.2,32.3,34,21,10.3,2.5,1.06,1.33,1.11,1.04,0.61,3180,105100,9.8,8.4,9.4,8.1,13.5,9.5,8.3,9.9,11,12,7100,1,31,60.3,0,39.7
71000415,10,0,78.7,100,3.6,1,1.2,2.3,3.1,45.7,46.7,56,18.4,3.3,13.1,25.3,14.7,19.8,19.6,6.2,1.2,26.4,38.1,26.3,8.3,0.9,1.29,1.3,0.81,1.03,0.53,8560,134300,7,7.9,5.4,7.4,8.9,11.4,12.3,15.4,15.2,9.1,7100,1,31,57.5,0,42.5
71000416,10,0,74.1,100,6.9,1.7,2.8,2.4,3.2,42.6,48.4,57,25.1,3.5,14.7,15.6,20,17.8,24.4,6,1.5,32.7,28.8,29.8,6.5,2.2,1.25,1.41,0.97,0.99,0.55,2480,112500,10.5,9.2,7.8,7.4,11.1,8.9,9.7,8.3,20,7.4,7100,1,31,62.5,0,37.5
71000421,14.8,0,75.6,93.5,2.4,2.8,2.8,1.1,1.3,46.8,42,55.5,17,3.3,15.8,22,15.7,19.9,18.6,5.8,2.2,28.1,33.1,28.8,7.1,2.9,1.29,1.5,0.84,1,0.5,4540,115400,10.1,4.6,10.5,9.7,9.9,11.8,10.6,12.7,11.9,8.1,7100,1,31,56.9,0,43.1
71000422,14.8,0,70.7,93.5,6.2,2.1,2.5,4.6,2.6,55.5,32.7,45.3,26.9,3,19.4,28.4,15,14.7,16.3,4.7,1.5,25.5,37.8,30.2,4.1,2.4,1.08,1.41,0.82,1.03,0.78,3170,120800,6.8,6.4,7,13.3,9.7,9.8,9.8,8,17,12.2,7100,1,31,63.1,0,36.9
71000423,15.7,1,68.1,96.4,7.3,4,3.9,3.7,3.4,44.8,36.4,34.6,39.7,2.8,23.1,30.4,16.1,13.1,10.1,5.6,1.7,29.8,35.5,24.4,8.3,2,0.9,1.2,0.95,1,1.1,6110,115400,11.3,6.1,9.7,7.7,10.1,13.1,9.1,9.9,11.7,11.3,7100,1,31,66,0,34
71000424,25.2,0,72.1,100,4.1,2,4.1,1.5,1.9,47,39.9,38.2,27.8,2.8,23.4,26.3,20.7,17.4,8.7,1.7,1.8,46.4,33.2,12.9,5.2,2.3,0.91,0.95,1.04,1.14,0.78,4110,105200,7.6,12.1,9.4,9.8,10.4,7.1,13.3,9.6,13.8,6.9,7100,1,31,57.1,0,42.9
71000425,25.2,0,70.2,100,6.2,2.2,2.7,3.7,4.4,51.5,31.9,49,24.6,3.2,15.4,26,13.9,23.3,15.9,4,1.6,29,37.9,26.4,5.9,0.9,1.17,1.11,0.88,1.02,0.74,4110,106200,8.6,7.2,9.8,13.3,10.7,8.9,9.7,11,13.9,6.9,7100,1,31,54,0,46
71000426,25.2,0,74.7,100,3.7,0.9,0.9,1.4,1.1,50.1,45.6,53.4,22.7,3.4,11.7,22.8,16,22.1,19.5,6.1,1.9,25.5,35.5,29.8,6.9,2.2,1.21,1.31,1.11,0.98,0.55,3510,113500,8.9,10.1,6.2,9.7,10.7,12.1,11.4,7.4,15.4,8.2,7100,1,31,61.1,0,38.9
