dealid,assetid,dealdate,assetarea,rescode,pricePerMeter_Jan2026
2941295070,30055872,01/04/1998 00:00,20.0,3,38929.80212101832
2941362120,30094534,01/04/1998 00:00,84.0,1,26694.72145441256
2941513830,30147240,01/04/1998 00:00,77.0,1,27301.419669285577
2941572780,30096363,02/04/1998 00:00,75.0,1,18769.355262613633
2941573260,30057237,02/04/1998 00:00,75.0,1,17232.92573890411
2941316880,30219094,03/04/1998 00:00,75.0,1,26700.653614735766
2941483650,30151196,03/04/1998 00:00,110.0,1,36013.60603486204
2941374540,30179175,05/04/1998 00:00,71.0,1,30134.956684100944
2941594290,30098445,05/04/1998 00:00,50.0,1,31642.14316396369
2941841550,30050807,05/04/1998 00:00,42.0,1,36334.4819796171
2941360620,30163108,06/04/1998 00:00,122.0,1,27850.763353462942
2941519320,30156255,06/04/1998 00:00,100.0,1,24541.34725708995
2941526490,30143342,06/04/1998 00:00,75.0,1,27032.85459283512
2941837350,30098246,07/04/1998 00:00,36.0,1,28202.478869893268
2941370070,30111505,08/04/1998 00:00,100.0,1,16039.078473859548
2941394310,30224732,08/04/1998 00:00,75.0,1,26949.804348310285
2941489590,30144099,08/04/1998 00:00,65.0,1,29083.556784563843
2941399260,30046287,09/04/1998 00:00,32.0,1,35912.7424566394
2941570050,30224716,09/04/1998 00:00,70.0,1,34124.75225922406
2941523520,30172978,10/04/1998 00:00,40.0,1,30131.66684166818
2941464360,30103667,14/04/1998 00:00,100.0,1,27375.436851500082
2941431690,30143379,19/04/1998 00:00,51.0,1,29556.11643383979
2941487640,30148396,20/04/1998 00:00,75.0,1,26368.452636636408
2941557210,30172063,20/04/1998 00:00,53.0,1,24562.501564657596
2941715310,30055676,21/04/1998 00:00,53.0,1,41309.66172237868
2941494300,30117532,22/04/1998 00:00,106.0,1,44130.23606473171
2941562850,30093756,22/04/1998 00:00,50.0,1,26845.991542654232
2942340750,30148799,22/04/1998 00:00,75.0,1,25454.899946863177
2941492110,30131779,23/04/1998 00:00,55.0,1,33182.34769878798
2941520070,30148440,23/04/1998 00:00,75.0,1,24333.72164577785
2941590060,30064425,23/04/1998 00:00,67.0,1,36814.8098863839
2941627200,30176402,24/04/1998 00:00,41.0,1,44057.14191256707
2941701720,30131974,27/04/1998 00:00,55.0,1,34088.35036633168
2941583940,30216407,28/04/1998 00:00,65.0,1,26352.481435766247
2942042010,30103733,28/04/1998 00:00,125.0,1,39166.49531791411
2941792530,30062067,29/04/1998 00:00,54.0,1,33104.75024809558
2941830150,30148783,29/04/1998 00:00,100.0,1,21395.819245711667
2942085330,30149319,03/05/1998 00:00,71.0,1,28900.148811491887
2942711040,30045276,03/05/1998 00:00,48.0,1,38207.36352895104
2941589640,30216867,04/05/1998 00:00,59.0,1,24223.321149602867
2941695540,30107348,04/05/1998 00:00,36.0,1,38056.00442046057
2941891290,30219448,04/05/1998 00:00,75.0,1,22999.66521702017
2942228910,30134252,04/05/1998 00:00,64.0,1,31817.846877674845
2941806150,30183962,05/05/1998 00:00,36.0,1,31136.730889467737
2942431800,30089127,05/05/1998 00:00,77.0,1,34371.71591694491
2942037090,30066152,06/05/1998 00:00,105.0,1,37749.57944980231
2941841310,30066328,10/05/1998 00:00,100.0,1,97582.51460759189
2941848510,30144190,10/05/1998 00:00,75.0,1,29600.65216558733
2941682100,30111265,11/05/1998 00:00,70.0,1,3113.673088946774
2941690320,30045281,11/05/1998 00:00,48.0,1,33277.381138118646
2941922220,30208715,11/05/1998 00:00,86.0,1,36133.09003219628
2942039340,30083287,12/05/1998 00:00,100.0,1,27462.596644510544
2941842810,30121850,13/05/1998 00:00,55.0,1,36118.607831782574
2941867290,30129503,13/05/1998 00:00,88.0,1,35665.70992793577
2941789800,30101349,14/05/1998 00:00,49.0,1,41685.092782634354
2941759170,30089526,15/05/1998 00:00,44.0,1,37576.37295978948
2941768320,30216909,15/05/1998 00:00,63.0,1,25354.195152852302
2941798770,30103726,17/05/1998 00:00,64.0,1,30844.824037378978
2941906440,30113368,17/05/1998 00:00,44.0,1,46917.392226629796
2941956360,30095700,17/05/1998 00:00,124.0,1,27596.1832641331
2942061870,30057132,17/05/1998 00:00,42.0,1,58714.9782487106
2942296200,30056918,17/05/1998 00:00,60.0,1,57032.11207920841
2941837110,30050198,19/05/1998 00:00,43.0,1,38884.708110800406
2941838820,30131204,19/05/1998 00:00,33.0,1,44818.021734839924
2942465010,30148645,19/05/1998 00:00,75.0,1,24909.384711574192
2941901970,30176665,20/05/1998 00:00,57.0,1,23926.119525591
2941969260,30144662,20/05/1998 00:00,59.0,1,31242.279129771017
2941870020,30135391,21/05/1998 00:00,110.0,1,27258.79258777948
2941895490,30118829,21/05/1998 00:00,140.0,1,38120.25481753408
2942431560,30177544,24/05/1998 00:00,39.0,1,26106.951284246028
2941908390,30105668,25/05/1998 00:00,125.0,1,31286.187197737185
2941940580,30151198,25/05/1998 00:00,103.0,1,26420.876502325053
2942066310,30116797,25/05/1998 00:00,63.0,1,44233.92721598988
2942164500,30151954,26/05/1998 00:00,129.0,1,30050.565858439793
2942305170,30156165,26/05/1998 00:00,125.0,1,23987.737477245944
2942060850,30148880,27/05/1998 00:00,79.0,1,31530.866723511637
2942597940,30093871,28/05/1998 00:00,75.0,1,28728.82370068223
2942726130,30100412,29/05/1998 00:00,95.0,1,35102.567139599945
2942658060,30059768,31/05/1998 00:00,70.0,1,48751.22436408092
2942081100,30134061,01/06/1998 00:00,67.0,1,32198.007195081656
2941961820,30220505,02/06/1998 00:00,75.0,1,24031.886351492114
2942608350,30109513,02/06/1998 00:00,106.0,1,32098.50887450005
2942115570,30053671,03/06/1998 00:00,87.0,1,39144.30895797209
2942662050,30081709,03/06/1998 00:00,36.0,1,31215.856983623537
2942038110,30092250,07/06/1998 00:00,66.0,1,24101.69164235451
2942236110,30082608,07/06/1998 00:00,13.0,1,32326.67056049657
2942404380,30055596,07/06/1998 00:00,28.0,1,33241.737690119095
2942106360,30106659,08/06/1998 00:00,75.0,3,22745.205044244696
2942102910,30217549,09/06/1998 00:00,87.0,1,25297.099116349422
2942157630,30149039,09/06/1998 00:00,61.0,1,30874.227560207106
2942293980,30179062,09/06/1998 00:00,132.0,1,24738.429092788534
2942121750,30132425,11/06/1998 00:00,51.0,1,32350.14671921879
2942172720,30054916,11/06/1998 00:00,21.0,1,47138.78521943309
2942186370,30120128,11/06/1998 00:00,102.0,1,30732.639383257847
2942247270,30049284,11/06/1998 00:00,87.0,1,20538.238886541116
2942249460,30062859,11/06/1998 00:00,85.0,1,32850.65842317651
2942375910,30114906,11/06/1998 00:00,91.0,1,35063.319920115326
2942198970,30181046,14/06/1998 00:00,48.0,1,24838.65628406056
2942299680,30180584,14/06/1998 00:00,41.0,1,25131.285171059935
2942475180,30103729,15/06/1998 00:00,125.0,1,38998.89536418306
2943158970,30048622,15/06/1998 00:00,52.0,1,34601.51034067966
2942201400,30183284,16/06/1998 00:00,30.0,1,69522.29643998151
2942202420,30071163,16/06/1998 00:00,132.0,1,39972.962166135905
2942204910,30113181,17/06/1998 00:00,60.0,1,31440.680330319996
2942217030,30098595,17/06/1998 00:00,88.0,1,23382.414152049412
2942275680,30095090,18/06/1998 00:00,100.0,1,23969.62757856079
2942263050,30137165,19/06/1998 00:00,77.0,1,20213.88731536582
2942265540,30103669,19/06/1998 00:00,102.0,1,26856.72557821937
2942368020,30085343,19/06/1998 00:00,75.0,1,28140.96536495968
2942630610,30135213,19/06/1998 00:00,117.0,1,35865.310218559156
2942265780,30163376,21/06/1998 00:00,90.0,1,28535.27092685808
2942323920,30191620,21/06/1998 00:00,63.0,1,22976.451915132482
2942431350,30173503,21/06/1998 00:00,72.0,1,53914.36794816974
