AssetID,BuildingID,BuildingYear,assetFloor
4689737,52680642,1970,5
4689739,52680642,1970,6
4689740,52680642,1970,10
4689742,52680642,1970,8
4689743,52680642,1970,
4689744,52680642,1970,
4689746,52680642,1970,3
4689747,52680642,1970,
4689748,52680642,1970,
4689749,52680642,1970,6
4689750,52680642,1970,1
4689751,52680642,1970,2
4689752,52680642,1970,7
4689753,52680642,1970,1
4689754,52680642,1970,3
4689756,52680642,1970,
4689757,52680642,1970,4
4689926,52684080,1950,2
4689927,52684080,1950,2
4690432,52690285,1980,2
4690433,52690285,1980,3
4690434,52690285,1980,2
4690435,52690285,1980,2
4690913,52694438,1970,7
4690914,52694438,1970,
4690915,52694438,1970,
4690916,52694438,1970,
4690917,52694438,1970,
4690918,52694438,1970,5
4690920,52694438,1970,1
4690921,52694438,1970,5
4690922,52694438,1970,9
4690923,52694438,1970,
4690924,52694438,1970,
4690926,52694438,1970,
4690927,52694438,1970,6
4690928,52694438,1970,
4690930,52694438,1970,
4690931,52694438,1970,9
4690932,52694438,1970,
4690933,52694438,1970,
4690934,52694438,1970,
4691111,52698315,1970,1
4691148,52701999,1950,1
4691149,52701999,1950,1
4691157,52702299,1940,
4691158,52702299,1940,3
4691328,52703370,1950,
4691330,52703370,1950,1
4691415,52704295,1982,4
4691712,52713354,2000,6
4692188,52716104,1960,1
4692189,52716104,1960,2
4692190,52716104,1960,4
4692191,52716104,1960,2
4692192,52716104,1960,2
4692193,52716104,1960,2
4692194,52716104,1960,2
4692196,52716104,1960,2
4692304,52719107,1930,2
4692305,52719107,1930,
4692511,52677905,2023,
4692879,52723128,1980,1
4693881,52769099,1998,2
4693882,52769099,1998,1
4693883,52769099,1998,1
4693887,52769099,1998,2
4693888,52769099,1998,3
4693889,52769099,1998,1
4693891,52769099,1998,
4693892,52769099,1998,2
4693894,52769099,1998,2
4693896,52769099,1998,2
4693903,52769099,1998,
4693905,52769099,1998,3
4693906,52769099,1998,2
4693907,52769099,1998,3
4693908,52769099,1998,3
4693911,52769099,1998,3
4693912,52769099,1998,
4693913,52769099,1998,3
4693923,52769099,1998,2
4693924,52769099,1998,1
4693926,52769099,1998,
4693930,52769099,1998,
4693935,52769099,1998,
4693939,52769099,1998,3
4693940,52769099,1998,1
4693942,52769099,1998,1
4693954,52769099,1998,1
4693959,52769099,1998,1
4693962,52769099,1998,6
4693963,52769099,1998,4
4693965,52769099,1998,1
4693966,52769099,1998,4
4693967,52769099,1998,
4693968,52769099,1998,
4693969,52769099,1998,1
4693975,52769099,1998,9
4693976,52769099,1998,1
4694986,52795558,1938,1
4694987,52795558,1938,
4695140,52797231,2030,
4701634,52961464,1970,
4738659,53315493,1960,3
4738660,53315493,1960,1
4739107,53318430,2027,2
4739129,53318658,1960,
4739130,53318658,1960,1
4739131,53318658,1960,
4739136,53318658,1960,1
4739138,53318658,1960,1
4740527,53331440,1940,2
4740556,53331643,1950,1
4740557,53331643,1950,1
4740559,53331643,1950,1
4740561,53331643,1950,1
4740562,53331643,1950,1
4740563,53331643,1950,1
4740565,53331643,1950,1
4741294,53337033,1950,2
4741295,53337033,1950,2
4741424,53338412,1960,2
4741476,53338874,1950,2
4741630,53340199,1940,1
4741631,53340199,1940,3
4741988,53343440,2012,1
4741995,53343440,2012,
4742413,53348538,2013,1
4742414,53348538,2013,
4742703,53351685,1950,
4742704,53351685,1950,
4742707,53351685,1950,
4743640,53361681,1920,
4743643,53361681,1920,
4743645,53361681,1920,
4743647,53361681,1920,
4743648,53361681,1920,
4743649,53361681,1920,1
4743650,53361681,1920,
4743651,53361681,1920,2
4743652,53361681,1920,
4743653,53361681,1920,
4743654,53361681,1920,
4743655,53361681,1920,1
4743656,53361681,1920,
4743657,53361726,1945,1
4743658,53361726,1945,1
4743659,53361726,1945,1
4745824,53414696,1960,3
4745825,53414696,1960,1
4745826,53414696,1960,1
4745827,53414696,1960,
4746566,53424687,1960,1
4746568,53424687,1960,3
4746569,53424687,1960,3
4746570,53424687,1960,3
4746571,53424687,1960,1
4746572,53424687,1960,3
4746573,53424687,1960,1
4749172,53446383,1940,1
4749174,53446383,1940,1
4749175,53446383,1940,1
4749176,53446383,1940,2
4749177,53446383,1940,3
4749178,53446383,1940,1
4749710,53453957,1960,
4749711,53453957,1960,
4749713,53453957,1960,1
4749714,53453957,1960,1
4749716,53453957,1960,1
4749717,53453957,1960,1
4749718,53453957,1960,
4749719,53453957,1960,1
4786638,65041585,2017,5
4786639,65041585,2017,7
4786640,65041585,2017,7
4786642,65041585,2017,7
4786643,65041585,2017,10
4786644,65041585,2017,9
4786645,65041585,2017,5
4786646,65041585,2017,
4786647,65041585,2017,5
4786649,65041585,2017,8
4786651,65041585,2017,
4786652,65041585,2017,5
4786653,65041585,2017,3
4786654,65041585,2017,2
4786655,65041585,2017,2
4786656,65041585,2017,3
4786657,65041585,2017,5
4786658,65041585,2017,1
4786659,65041585,2017,9
4786660,65041585,2017,6
4786661,65041585,2017,9
4786662,65041585,2017,7
4786663,65041585,2017,10
4786664,65041585,2017,9
4786665,65041585,2017,6
4786666,65041585,2017,3
4786667,65041585,2017,4
4786668,65041585,2017,8
4786670,65041585,2017,6
4786671,65041585,2017,3
4786672,65041585,2017,2
4786673,65041585,2017,6
4786674,65041585,2017,5
4786675,65041585,2017,3
4786676,65041585,2017,5
4786677,65041585,2017,3
4786678,65041585,2017,2
4786679,65041585,2017,8
4786680,65041585,2017,8
4786681,65041585,2017,2
4786682,65041585,2017,1
4786684,65041585,2017,2
4786685,65041585,2017,7
4786686,65041585,2017,6
4786687,65041585,2017,6
4786688,65041585,2017,
4786689,65041585,2017,8
4786690,65041585,2017,2
4786691,65041585,2017,
4786692,65041585,2017,4
4786693,65041585,2017,
4786694,65041585,2017,4
4786695,65041585,2017,
4786696,65041585,2017,1
4786697,65041585,2017,4
4786698,65041585,2017,7
4786700,65041585,2017,4
4786701,65041585,2017,3
4786703,65041585,2017,8
4786704,65041585,2017,1
4786705,65041585,2017,6
4786706,65041585,2017,1
4786707,65041585,2017,
4786709,65041585,2017,6
4786710,65041585,2017,2
4786711,65041585,2017,3
4786712,65041585,2017,4
4786713,65041585,2017,6
4786714,65041585,2017,9
4786715,65041585,2017,
4786716,65041585,2017,10
4786717,65041585,2017,
4786719,65041585,2017,4
4786720,65041585,2017,2
4786721,65041585,2017,5
4786722,65041585,2017,3
4786723,65041585,2017,1
4786725,65041585,2017,2
4786726,65041585,2017,9
4786727,65041585,2017,1
4786728,65041585,2017,8
4786729,65041585,2017,5
4786730,65041585,2017,7
4786731,65041585,2017,3
4786732,65041585,2017,3
4786733,65041585,2017,5
4786734,65041585,2017,6
4786735,65041585,2017,
4786737,65041585,2017,6
4786738,65041585,2017,6
4786739,65041585,2017,3
4786740,65041585,2017,5
4786742,65041585,2017,10
4786743,65041585,2017,2
4786744,65041585,2017,3
4786745,65041585,2017,2
4786746,65041585,2017,2
4786747,65041585,2017,4
4786748,65041585,2017,5
4786749,65041585,2017,2
4786750,65041585,2017,8
4786751,65041585,2017,2
4786752,65041585,2017,1
4786753,65041585,2017,8
4786754,65041585,2017,2
4786755,65041585,2017,4
4786756,65041585,2017,
4786757,65041585,2017,6
4786758,65041585,2017,2
4786760,65041585,2017,4
4786761,65041585,2017,4
4786763,65041585,2017,2
4786764,65041585,2017,
4786765,65041585,2017,1
4786766,65041585,2017,8
4786767,65041585,2017,1
4786768,65041585,2017,2
4786769,65041585,2017,
4786770,65041585,2017,6
4786771,65041585,2017,9
4786772,65041585,2017,
4786773,65041585,2017,
4786774,65041585,2017,2
4786775,65041585,2017,9
4786776,65041585,2017,
4786777,65041585,2017,3
4786778,65041585,2017,3
4786779,65041585,2017,1
4786780,65041585,2017,4
4786781,65041585,2017,
4786782,65041585,2017,1
4786783,65041585,2017,5
4786784,65041585,2017,4
4786785,65041585,2017,7
4786786,65041585,2017,7
4786787,65041585,2017,10
4786788,65041585,2017,1
4786789,65041585,2017,6
4786790,65041585,2017,2
4786791,65041585,2017,9
4786792,65041585,2017,9
4786793,65041585,2017,4
4786794,65041585,2017,1
4786795,65041585,2017,1
4786796,65041585,2017,
4786797,65041585,2017,
4786798,65041585,2017,4
4786799,65041585,2017,1
4786800,65041585,2017,3
4786801,65041585,2017,6
4786802,65041585,2017,3
4786803,65041585,2017,
4786804,65041585,2017,
4786805,65041585,2017,
4786806,65041585,2017,
4786807,65041585,2017,
4786808,65041585,2017,7
4786809,65041585,2017,5
4786810,65041585,2017,
4786811,65041585,2017,
4786812,65041585,2017,
4786813,65041585,2017,
4786814,65041585,2017,2
4786816,65041585,2017,
4786817,65041585,2017,
4786819,65041585,2017,
4786820,65041585,2017,7
4786821,65041585,2017,6
4786822,65041585,2017,2
4786823,65041585,2017,8
4786824,65041585,2017,2
4786825,65041585,2017,
4786826,65041585,2017,
4786827,65041585,2017,
4786828,65041585,2017,3
4786829,65041585,2017,6
4786832,65041585,2017,
4786833,65041585,2017,4
4786834,65041585,2017,3
4786835,65041585,2017,
4786836,65041585,2017,
4786837,65041585,2017,
4786839,65041585,2017,2
4786840,65041585,2017,8
4786841,65041585,2017,
4786842,65041585,2017,
4786843,65041585,2017,7
4786844,65041585,2017,
4786846,65041585,2017,3
4786847,65041585,2017,4
4786848,65041585,2017,8
4786849,65041585,2017,8
4786850,65041585,2017,9
4786851,65041585,2017,4
4786853,65041585,2017,
4786854,65041585,2017,
4786855,65041585,2017,8
4786857,65041585,2017,5
4786858,65041585,2017,1
4786859,65041585,2017,4
4786860,65041585,2017,1
4786861,65041585,2017,7
4786862,65041585,2017,1
4786863,65041585,2017,2
4786864,65041585,2017,8
4786865,65041585,2017,5
4786866,65041585,2017,1
4786867,65041585,2017,8
4786868,65041585,2017,5
4786869,65041585,2017,4
4786870,65041585,2017,5
4786871,65041585,2017,
4786873,65041585,2017,
4786874,65041585,2017,8
4786875,65041585,2017,8
4786876,65041585,2017,4
4786877,65041585,2017,3
4786878,65041585,2017,1
4786879,65041585,2017,9
4786880,65041585,2017,4
4786881,65041585,2017,1
4786882,65041585,2017,2
4786883,65041585,2017,4
4786884,65041585,2017,7
4786885,65041585,2017,5
4786886,65041585,2017,2
4786890,65041585,2017,
4786893,65041585,2017,1
4786894,65041585,2017,5
4786895,65041585,2017,7
4786896,65041585,2017,8
4786897,65041585,2017,7
4786900,65041585,2017,
4786903,65041585,2017,4
4786905,65041585,2017,2
4786908,65041585,2017,1
4786909,65041585,2017,1
4786910,65041585,2017,1
4786911,65041585,2017,2
4786912,65041585,2017,8
4786913,65041585,2017,9
4786914,65041585,2017,5
4786915,65041585,2017,6
4786916,65041585,2017,6
4786917,65041585,2017,8
4786918,65041585,2017,7
4786919,65041585,2017,
4786920,65041585,2017,8
4786921,65041585,2017,7
4786922,65041585,2017,7
4786923,65041585,2017,4
4786924,65041585,2017,6
