BLDG_ID_x,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
52927436,8.3,,90000223,177220.3619,573917.9556,246.79005,805,4212
52937934,8.3,,12710001,182790.3054,586074.592,204.0672124,1895,18196
52939192,8.3,,12710001,182051.5856,587023.0661,202.4571,1718,17026
52940047,8.3,,7360001,166989.0295,582193.8335,181.093,1562,19646
52941832,8.3,,90000414,178292.5672,572133.4842,218.02955,623,3242
52951276,8.3,,10540003,186294.7892,572326.3585,259.7515234,1238,9226
52974672,8.3,,12710001,182306.7286,587071.1259,153.73,1735,17148
52975009,8.3,,7890001,162182.4376,583636.1394,389.357604,2104,27910
52994914,8.3,,90000643,182886.5494,576252.1077,235.71545,897,5968
52995595,8.3,5521,90000644,182009.833,576185.7537,226.2776724,839,5298
53013893,8.3,,90000215,178544.7551,574630.158,213.66135,874,4328
53014123,8.3,,90000211,179736.808,574610.1636,160.94365,653,3438
53159232,8.3,,90000211,179353.9256,574419.5728,164.8392,735,3814
53388300,8.3,,90000643,182399.0059,576019.1054,221.0166,846,5609
53389994,8.3,,90000642,181573.5769,576076.3083,528.481,737,4851
53402062,8.3,,12710001,182209.8968,586860.3322,220.85235,1737,17161
53408021,8.3,,11610002,178214.7119,589495.9728,179.2393725,1721,19749
53412829,8.3,,90000643,182225.3176,575758.9407,134.02365,731,6506
53419072,8.290015,,10600001,0,0,93.06910297,1717,17872
52747219,8.29,,90000643,183153.1886,576304.593,222.17545,882,5898
52790095,8.29,,11610008,176845.0497,588877.7117,259.9697375,1891,20776
52803216,8.29,,11610011,178523.3202,588583.6014,39.25089999,1700,19445
52803977,8.29,,11610010,177086.6742,588343.7852,166.87745,1872,20886
52829178,8.29,,13580001,188423.7459,574703.0111,150.5060793,1699,13714
52837367,8.29,,90000613,179452.3141,570938.3796,315.7416,405,2844
52837535,8.29,,90000641,181181.6579,575756.4294,147.48985,856,4836
52839702,8.29,7300,90000621,182176.4579,569408.5136,1921.3019,529,4212
52840121,8.29,,90000414,178544.0546,572296.8673,1148.0955,589,2908
52870154,8.29,,11610010,176566.5857,588246.3987,152.379,1990,21465
52883415,8.29,,90000421,177396.9067,572588.6748,236.16565,676,4177
52883545,8.29,,90000644,182065.7939,576110.8111,170.18895,804,5132
52887016,8.29,,11610003,175890.9537,589203.9604,182.71285,1885,24399
52891000,8.29,,90000621,181639.0508,569516.164,18407.44356,596,4504
52896697,8.29,,11610010,176858.2107,588273.8101,136.3272514,1927,21177
52907184,8.29,,90000523,179962.8162,573413.3704,315.8585025,363,1853
52919712,8.29,,90000643,182120.8255,575559.158,178.9155,692,6117
52921363,8.29,6520,90000621,182055.1743,570306.5044,1332.901297,472,3194
52922789,8.29,,11610005,174827.9025,588403.1298,225.7104503,1695,22809
52928270,8.29,,90000234,176834.9861,574800.3394,203.42,1035,6035
52937476,8.29,,11610010,176841.4616,588235.9952,139.96895,1952,21239
52939260,8.29,,90000621,181622.9718,569139.6763,200.5473017,644,4878
52946280,8.29,,90000641,181288.6294,575959.2944,159.28615,828,4903
52954146,8.29,,90000631,181784.3892,573157.6825,366.03115,439,2669
52973312,8.29,,12710001,182355.3814,587068.227,160.77995,1739,17220
52997138,8.29,,90000512,180253.4889,574030.9973,144.90495,452,2290
53115394,8.29,,7090001,170193.1955,581540.6407,152.6206695,1611,17931
53180213,8.29,,12710001,181748.9966,586168.2159,172.18565,1828,18013
53390213,8.29,,7500001,162546.3059,581506.1292,164.5090774,1850,25304
53394271,8.29,,10540003,187284.27,572699.3345,82.77362413,1239,9639
53411468,8.29,,90000523,179508.9681,573120.2887,262.7508787,469,2287
53452257,8.29,,90000421,177219.781,572527.7628,212.1205,720,4282
52776384,8.28,,90000634,181059.602,573639.3844,386.0877115,338,1883
52797287,8.28,,90000643,182695.3279,576196.7373,105.0575,952,6148
52821502,8.28,,90000643,183109.5564,576011.3193,557.6225,882,5720
52823740,8.28,,90000523,179963.7826,573310.4863,278.0349,436,2207
52828936,8.28,,90000613,179625.2988,571225.3518,137.9788,420,2784
52833492,8.28,,90000211,179333.0097,574393.012,208.2925,726,3748
52840588,8.28,,90000223,177099.0862,574023.1537,305.70995,828,4467
52893152,8.28,,11610002,177595.5744,589435.1402,212.4475,1820,20266
52897638,8.28,,11610006,175704.1725,588277.6499,149.39955,1850,24113
52915882,8.28,,11610002,177508.1038,589304.5437,387.7046,1791,20144
52928347,8.28,,7500001,163233.838,581662.9973,171.1709,1931,26090
52934204,8.28,,90000613,180327.6917,571011.3844,166.01395,389,2176
52938373,8.28,,10600001,188164.985,581764.7289,143.8795309,1609,17031
52948474,8.28,,90000411,178259.3559,571111.7102,204.73585,649,3688
52948774,8.28,,90000621,181570.2719,570831.5704,124.399075,382,2650
52951779,8.28,,90000521,180467.153,573001.8039,241.7358,258,863
52952191,8.28,,90000211,179230.233,574692.7537,164.997585,777,4296
52952288,8.28,,90000522,180004.644,572779.0696,217.39835,300,1552
52977289,8.28,,90000523,179503.0684,573042.1939,264.4415,459,2243
52982180,8.28,,90000631,181425.5399,573144.1196,204.83285,373,1966
52994677,8.28,,90000223,177556.2843,573712.7144,146.2084,766,3923
52998918,8.28,,13030001,194151.2287,577749.657,191.6759424,1809,19027
53071450,8.28,,90000421,177558.257,573583.9211,185.3884,687,3521
53131601,8.28,,12710001,182518.1436,586621.9531,110.33435,1758,17600
53167849,8.28,,12710001,182097.2599,586959.0159,89.5495,1716,16983
53169134,8.28,,11610001,177734.8172,590171.5901,157.9761855,1908,20957
