statID,average_Csvalue,X,Y,settlement,civil_labour_force.LaborForceY_pcnt,jobs.industrialJobs,jobs.commercialJobs,jobs.publicJobs,jobs.homeJobs,intraSAProb,intraYeshuvProb,interYeshuvProb,inOutRatio,housingValue.avgPricePerM2009
3820001,27854.73736,188310.4,701420.1,382,79.5,85.051,143.33,278.533,14.236,,,,,16025.44093
3850001,627233.4502,250927.3,759254.8,,,279.206,42.617,115.413,0,,,,,2139.206804
3860001,27854.73736,190705.5,685420.7,386,39.2,50.753,271.181,453.815,0,,,,,14243.91147
3870001,27854.73736,192318.5,694883.6,387,75,167.755,45.831,87.713,5.496,,,,,13259.56852
3930001,0,185624.1,615773.1,,,57.497,27.667,89.069,0,,,,,4902.280403
3940001,0,175673.2,591410.8,394,72.7,123.002,54.108,141.818,8.965,,,,,
3960001,0,188803.5,570112.9,396,64.6,60.339,12.854,137.078,2.907,,,,,
3970001,0,172695.6,572220.2,,,519.362,174.439,377.827,0,,,,,
4000001,0,177538.7,609386.7,400,61.2,14.773,0,187.256,0,,,,,11612.44567
4080001,627233.4502,256056.6,785035.8,,,109.986,236.614,125.185,0,,,,,2449.973864
4180001,27854.73736,187828.8,680674.3,418,71.3,185.214,345.185,147.622,21.632,,,,,20894.95878
4190001,0,155737.6,597807.8,419,73.8,178.582,111.759,136.951,1.275,,,,,
4210001,0,179513.1,545866.9,421,81.6,198.608,86.655,155.718,0,,,,,
4220001,27854.73736,192415.1,700922.4,422,67.9,63.915,33.05,78.948,2.994,,,,,12907.91691
4240001,0,161863.3,601870.4,424,80.5,120.785,47.169,184.19,0,,,,,
4270001,92028.20702,196456.4,741277.3,,,9.828,32.389,148.918,0,,,,,
4300001,627233.4502,218172.1,737825.9,430,70.9,101.457,70.345,60.641,0,,,,,12490.25289
4340001,359630.8286,196253.9,739758.8,434,85.2,141.908,57.453,87.05,1.894,,,,,
4430001,627233.4502,256776.6,764465.7,443,80.2,258.634,41.674,164.559,0,,,,,2864.766311
4460001,27854.73736,185825.6,685810.8,446,79.4,59.105,213.938,123.918,9.815,,,,,15933.47201
4470001,27854.73736,190470.8,691331.7,447,68.3,168.167,151.932,163.886,23.26,1.00E-05,1.00E-05,0.01,0.1,9496.47075
4490001,9920.240278,191862.8,662913.4,449,67.7,190.378,298.577,320.786,0,,,,,10960.56802
4520001,627233.4502,230396,718667.9,,,387.313,115.945,92.849,0,,,,,
4600001,9413.210709,207063.3,631253,460,77.9,17.384,13.156,30.331,0,,,,,15580.94872
4620001,9413.210709,190874.6,634740.6,462,76,63.809,81.774,51.118,9.006,,,,,
4660001,9920.240278,184080.4,656445.8,466,67.3,447.742,2386.873,1441.404,27.86,1.00E-05,1.00E-05,0.007022472,0.2,9189.056039
4690001,9920.240278,182644.2,641069.8,,,133.043297,1042.795547,18.257,0,,,,,
4690002,9920.240278,183009.2,641246,469,74.3,62.433196,30.624,92.546968,16.216,3.54E-05,3.54E-05,0.034408602,0.75,8788.965737
4690003,9920.240278,183533.3,641288.7,469,61.6,0,61.965451,205.919181,0,6.81E-05,3.40E-05,0.059006211,0.473684211,7527.718031
4690004,9920.240278,183457.5,640538.6,469,59.7,126.417505,68.796,96.609847,7.2,4.82E-05,4.82E-05,0.066901408,0.473684211,6876.354967
4720001,9413.210709,210526.2,634821.8,472,29,154.971,242.02,150.665,0,1.00E-05,1.00E-05,0.001515152,0.1,5693.531192
4940005,92028.20702,205831.8,733081.1,494,47.3,122.460498,319.027652,228.214608,0,,,,,3206.441415
4940009,92028.20702,,,,,,,,,,,,,
5040001,627233.4502,219741.4,752725.9,504,38.2,54.525,229.949,337.655,0,1.00E-05,1.00E-05,1.00E-05,0.1,2371.889962
5090001,627233.4502,231976.4,739765.7,509,31.7,229.008,155.502051,280.086978,14.471,1.00E-05,1.00E-05,0.009746589,0.8,
5090002,627233.4502,232729.7,739446.2,509,32.8,21.71,0,0,0,,,,,
5090003,627233.4502,232197.2,739136,509,29.2,0,93.415,219.791608,0,,,,,
5090004,627233.4502,232845.3,738635.1,509,33,0,0,27.668912,0,,,,,
5090005,627233.4502,,,,,,,,,,,,,
5350001,627233.4502,229292.8,772590.8,535,56.9,88.298,61.709,72.829,0,1.00E-05,1.00E-05,1.00E-05,0.1,4096.12215
5370001,627233.4502,195722.8,723104.3,537,37.2,0,0,0,0,4.62E-06,1.00E-05,0.00505476,1.5,
5370002,627233.4502,195875.6,722653.3,537,35.7,0,0,101.113,0,,,,,
5370003,627233.4502,195635.2,722138.6,537,42.1,0,0,0,0,,,,,
5490001,27854.73736,190841.5,691919.3,549,76.9,0,0,0,0,,,,,11483.50442
5620001,9920.240278,181470.2,639120.3,562,70,148.715,83.165,92.577,12.971,,,,,14601.03276
5640001,0,182655.2,631300.1,564,85.9,157.465,88.952,140.271,0,,,,,1850.977294
5650001,0,181360.3,659597.3,565,68,836.14292,3434.381634,429.131986,0,2.74E-05,4.79E-05,0.05,0.65,11369.28736
5650002,0,182028.4,658996.7,565,62.2,143.836262,164.978761,268.244246,0,2.92E-05,5.11E-05,0.061333333,0.652173913,10308.96717
5700001,627233.4502,224759.6,769015.1,570,73.5,90.909,46.898,195.138,0,,,,,6016.821964
5770001,9920.240278,183140.2,633908.3,577,53,,,,,1.00E-05,1.00E-05,0.013661202,0.1,9928.368394
