BLDG_ID,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
51663503,5.185,5000,12710001,182515.5354,586826.5038,1247.982542,,
51663505,4.575,,90000411,175958.6207,574212.8451,786.7917,,
51663510,3.62,,90000641,181325.3134,575813.2826,1111.08175,,
51663547,3.835,,90000112,179442.3641,575789.597,1175.8417,,
51663557,6.9,5340,90000612,179572.0831,572147.7378,943.99025,,
51663597,12.24,6512,90000623,180146.9621,572239.2426,3294.4464,,
51663671,5.66,,90000215,178397.999,574748.8846,1779.98025,,
51663673,5.685,,90000413,178404.9777,571826.7052,2231.3727,,
51663683,10.485,5332,10600001,187249.9651,581748.6773,2182.33175,,
51663690,12.095,,90000513,180421.517,573692.3653,1488.72815,,
51663692,13.86,,90000513,180480.1271,573691.6316,1460.0469,,
51663703,8.06,,12860001,184499.7604,566964.9009,1102.455163,,
51663722,7.57,,10540003,187166.0663,572809.3946,2323.122,,
51663752,11.69,6512,90000623,179980.7426,572261.8611,1976.09605,,
51663754,10.935,5310,13030001,194445.0221,578372.8325,2136.663495,,
51663781,3.56,,90000133,179840.5598,574274.1621,1045.837924,,
51663799,7.155,,90000511,179086.0096,574126.872,1781.03975,,
51663817,3.5133,,90000513,180387.6852,573634.6881,1056.44445,,
51663818,9.255,5003,10540002,186271.0796,572849.9909,1257.439036,,
51663821,5.07,,90000133,179878.9841,574284.914,1109.5652,,
51663838,11.82,,12860001,184529.6515,567002.134,1514.195725,,
51663850,17.605,,90000645,180989.0692,576833.244,1503.077848,,
51663869,12.62,,90000112,179522.0945,575790.8412,1522.070949,,
51663874,,,90000434,0,0,1423.132549,,
51663876,,5253,90000612,179540.5634,572065.1501,1082.35215,,
51663882,,5760,90000623,181143.8564,573002.1372,1897.85955,,
51663884,,,90000513,180367.7509,573693.0733,1467.9013,,
51663902,,6512,90000623,180156.2788,572030.3154,3210.38175,,
51663935,,,90000112,179405.6953,575751.4506,2356.992316,,
51663943,,,90000133,179916.1203,574241.9815,1208.9254,,
51663974,,,90000513,180381.5783,573567.4828,821.31615,,
