locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
90000311,9,,75.7,96.2,2.7,,1.6,1.8,4.7,66.7,9.7,55.8,14,3.5,4.9,26.7,20.4,24,14.5,5.9,3.6,3.6,42.7,30.5,18.7,4.9,3.2,800.0,200.0,600.0,1600.0,300.0,61142.5,8.977035491,10.64718163,9.551148225,9.551148225,9.864300626,12.5782881,10.90814196,10.64718163,9.812108559,7.463465553,9000,1,31,0.402327723,0.078218138,0.519454138
90000312,18.3,,73,98.7,3.5,0.2,2.1,1.6,4,73.4,10.7,48.1,21.1,3.3,11.1,23.2,18.1,22.9,20.1,4.1,0.5,0.5,39.4,27.2,28.2,4.2,1,1100.0,400.0,600.0,2100.0,500.0,62660,8.901142182,10.39779441,9.846396219,9.61008271,8.743599842,11.22489169,11.4612052,12.01260339,10.39779441,7.404489957,9000,1,31,0.402327723,0.078218138,0.519454138
90000313,12.7,,65.7,98.4,4.5,,3.8,3.6,7.1,62.1,7.4,48,31.5,3.3,13.4,23.9,18.6,20.8,14,7.6,1.7,1.7,46.9,28.5,16.9,6.6,1,800.0,200.0,400.0,1400.0,300.0,61571.5,7.768187423,9.864364982,9.617755857,11.7755857,9.679408138,10.7891492,10.91245376,11.15906289,10.66584464,7.768187423,9000,1,31,0.402327723,0.078218138,0.519454138
90000411,22.4,,73.9,98.9,3.2,,,,0.8,98,36.8,78.5,9,4.4,2,12.7,6.4,25.4,31.4,18.5,3.5,3.5,9.1,32.2,38.5,17.1,3.1,200.0,,300.0,400.0,,105157.5,12.5,4.296875,5.46875,4.296875,6.640625,5.46875,7.421875,12.109375,18.75,23.046875,9000,1,31,0.402327723,0.078218138,0.519454138
90000412,21.8,,65.2,96.7,3.1,0.2,2.7,1.4,5.7,52.3,7.8,42.2,19,2.9,14.7,35,19.5,15.5,8.6,5.6,1,1,49.4,27.7,14.3,7.2,1.4,600.0,200.0,400.0,1300.0,300.0,57987,9.452363091,10.95273818,11.47786947,9.002250563,9.827456864,11.927982,11.2528132,10.87771943,9.302325581,5.92648162,9000,1,31,0.402327723,0.078218138,0.519454138
90000413,19.9,,69.3,97.2,1.8,0.2,2.2,2.1,3.8,57.4,9.1,52,19.9,3.2,13,25.7,17.6,23.3,16.8,2.1,1.5,1.5,35.4,39,21.8,1.6,2.1,2000.0,400.0,1000.0,3100.0,700.0,61524,9.677419355,10.0684262,8.634734441,9.938090583,10.23134572,11.46953405,11.86054089,10.94819159,10.03584229,7.135874878,9000,1,31,0.402327723,0.078218138,0.519454138
90000414,20.9,,76.9,97,1.5,0.2,1.1,1.3,2.8,79.6,11.9,66.1,8.5,3.3,12.7,18.1,16,32.5,16.7,3.5,0.4,0.4,25.2,52.6,19.4,2.6,0.3,2200.0,400.0,700.0,3000.0,400.0,71519.5,6.638755981,7.027511962,9.031100478,9.061004785,10.28708134,10.52631579,11.48325359,12.76913876,13.81578947,9.360047847,9000,1,31,0.402327723,0.078218138,0.519454138
90000415,32,,75.6,98.1,0.9,0.2,0.9,0.6,1.3,82.8,10.8,67.5,6.8,3.8,7.6,17,23.4,18.7,14.6,12.8,6,6,30.3,26.3,25.4,13.1,4.9,2300.0,400.0,1000.0,2600.0,400.0,71931,7.711010768,7.467870788,6.703716568,10.14241056,9.934004863,10.31608197,12.05279611,12.99062174,12.95588746,9.725599166,9000,1,31,0.402327723,0.078218138,0.519454138
90000421,11.7,,68.6,96.6,1.9,0.2,1,0.6,1.6,94.8,35,50,14.1,4,2.2,13.7,27.4,20.6,17.8,14.1,4.2,4.2,41,36.4,17.5,5.2,,1200.0,600.0,1100.0,2600.0,200.0,75133.5,10.74956421,9.18070889,8.047646717,8.628704242,6.536897153,6.740267286,8.483439861,9.907030796,12.92852992,18.79721092,9000,1,31,0.402327723,0.078218138,0.519454138
90000422,30.1,,70.8,96.2,2.8,0.5,1.8,1.7,2.9,75.8,12.2,47.7,21.4,3.1,13,26.3,19.2,22.9,15.4,2.9,0.4,0.4,36.3,34.9,24.4,3.5,0.9,1200.0,400.0,600.0,2200.0,500.0,66748,10.56283732,10.1002313,9.059367772,7.864302236,8.018504241,9.521973786,9.213569776,10.1002313,12.79876638,12.76021588,9000,1,31,0.402327723,0.078218138,0.519454138
90000423,15.8,,65.1,98.1,2,0.1,1.3,1.7,3.7,65.8,14.8,39.8,27.8,2.9,14.8,29.2,22,20.2,10,3.1,0.7,0.7,43.7,33.6,19.9,1.9,0.9,900.0,300.0,800.0,1800.0,700.0,56543,9.185185185,11.30864198,10.02469136,12,9.185185185,9.925925926,10.7654321,9.135802469,9.777777778,8.691358025,9000,1,31,0.402327723,0.078218138,0.519454138
90000431,19.4,,63.4,98.6,1.8,0.3,1.2,0.6,3.2,68.5,12.5,38.9,30.7,3.3,12.5,31.2,18.4,16,6.6,10,5.4,5.4,23.8,27.5,13.8,21.1,13.8,800.0,200.0,400.0,1100.0,400.0,51493.5,13.08900524,9.42408377,11.71465969,11.2565445,9.882198953,8.835078534,9.947643979,10.27486911,8.04973822,7.52617801,9000,1,31,0.402327723,0.078218138,0.519454138
90000432,53.8,,56.5,95.4,3.9,,1.9,1.6,6.2,28.5,0.5,28.7,33,2.3,37.2,27.8,12.5,15.2,4.3,1.1,1.8,1.8,55,28.7,5.9,4,6.4,600.0,200.0,1000.0,1500.0,600.0,50080,12.65243902,12.95731707,10.92479675,10.31504065,10.72154472,10.41666667,11.07723577,7.164634146,7.164634146,6.605691057,9000,1,31,0.402327723,0.078218138,0.519454138
90000433,35,,46.2,98.1,7.7,0.8,2.3,4.9,7.8,29.3,2.9,31.6,29.8,2.6,24.6,34.9,17.2,12.8,4.7,3.1,2.8,2.8,53.1,27.5,11,2.4,6,300.0,200.0,200.0,800.0,300.0,40185,13.31901182,16.11170784,14.71535983,12.13748657,10.20408163,10.95596133,8.163265306,7.08915145,4.940923738,2.363050483,9000,1,31,0.402327723,0.078218138,0.519454138
90000434,59.3,64.5,48.2,98.5,3,0.5,1.3,4.2,8.7,34.4,2.9,32.5,36.5,2.4,39.4,26.8,11.3,9.2,7.7,3.6,2,2,42.9,24.9,20.7,5.7,5.9,800.0,200.0,600.0,1500.0,1100.0,47157,11.32884262,13.77832211,13.28842621,10.71647275,10.77770974,10.10410288,9.491733007,8.511941212,7.71586038,4.2865891,9000,1,31,0.402327723,0.078218138,0.519454138
90000511,51.9,,53.6,97.1,3.4,0.7,1.9,3.1,4.4,23.9,,23.9,30.9,2.3,37.6,24.7,17.4,13.2,4.7,,2.4,2.4,69,20.9,4.6,5.6,,400.0,200.0,400.0,1100.0,400.0,43917,10.92436975,13.69747899,14.70588235,12.94117647,11.34453782,11.42857143,12.60504202,6.218487395,4.033613445,2.100840336,9000,1,31,0.402327723,0.078218138,0.519454138
90000512,13.3,,51.7,93.8,0.8,1,1.8,3.1,4.5,38.2,2.4,29,36.5,2.9,17.1,34.3,19,12.3,10.5,5.1,1.7,1.7,38.2,45.6,10.5,3.2,2.5,600.0,200.0,1000.0,1000.0,500.0,51257,12.25895317,11.98347107,10.60606061,11.50137741,9.641873278,10.46831956,10.46831956,8.539944904,9.159779614,5.371900826,9000,1,31,0.402327723,0.078218138,0.519454138
90000513,39.7,,60.5,97.6,1.9,0.2,0.9,0.4,1.1,57.1,8.3,16.7,24.4,2.3,26.4,42.2,16.7,6.7,5.6,2.1,0.3,0.3,50.8,36.7,10.2,2.3,,400.0,200.0,1100.0,1200.0,500.0,58336,12.43953006,8.638562543,10.15894955,10.43538355,8.638562543,8.984105045,9.053213545,9.467864547,9.398756047,12.78507256,9000,1,31,0.402327723,0.078218138,0.519454138
90000521,41,,48.9,99.2,2.2,0.6,1.6,2.6,4.2,36.7,4.1,26.8,28.8,2.6,27,38.6,11.2,8.6,6.8,2.9,5,5,45.6,15.7,18.1,11.5,9,400.0,200.0,600.0,1000.0,300.0,44245,12.72241993,14.0569395,12.45551601,12.1886121,12.09964413,9.163701068,8.362989324,7.117437722,7.206405694,4.62633452,9000,1,31,0.402327723,0.078218138,0.519454138
90000522,31.5,,61.4,96.5,4.1,1.5,3.8,3.8,7.5,52.5,2.6,35.7,22.9,2.9,19.8,33.2,12.5,18.1,5.4,7.7,3.4,3.4,44.6,28.6,7.9,14,4.9,600.0,200.0,600.0,1200.0,300.0,47586,13.58024691,12.20043573,12.05519245,10.82062455,11.47421932,9.150326797,10.02178649,7.915758896,7.770515614,5.010893246,9000,1,31,0.402327723,0.078218138,0.519454138
90000523,26.6,,55.2,97.9,3.2,0.3,4.1,2.3,5.7,56.6,6.9,40.2,21.6,3,21,24,19.2,13.5,12.7,8.3,1.3,1.3,47.7,27.5,19.6,2,3.3,800.0,200.0,600.0,1300.0,400.0,47802,11.85137732,12.74823831,12.94042281,11.59513133,10.05765535,10.89045484,10.82639334,7.687379885,6.406149904,4.996796925,9000,1,31,0.402327723,0.078218138,0.519454138
90000611,20.5,,61,97,1.1,0.7,1.5,2.3,6.7,73.1,24.4,36,32.1,3.1,15.3,32.5,18.8,14.5,10.9,1.4,6.6,6.6,41.3,41,9.3,4,4.4,600.0,400.0,900.0,1500.0,500.0,65400.5,9.797979798,10.80808081,9.090909091,8.888888889,8.181818182,7.121212121,8.535353535,10.15151515,12.62626263,14.7979798,9000,1,31,0.402327723,0.078218138,0.519454138
