assets ID,bldgID,BuildingYear,AssetFloor
50150052,52823296,,
50144662,64909253,,
50144663,64909253,,
50144665,64909253,,
50144666,64909253,,
50119141,53390413,1950,1
50119142,53390413,1950,1
50119143,53390413,1950,1
50119144,53390413,1950,1
50170048,52822671,,
50170048,52822671,,
50170048,52822671,,
50170049,52822671,,
50197594,52824686,1995,2
50197594,52824686,1995,2
50197595,52824686,1995,2
50197595,52824686,1995,2
50167174,52824741,1990,
50167174,52824741,1990,
50167174,52824741,1990,
50167174,52824741,1990,
50151255,52825872,1984,
50151256,52825872,1984,
50151257,52825872,1984,
50151258,52825872,1984,
50202208,64806732,1989,
50202209,64806732,1989,
50202209,64806732,1989,
50202209,64806732,1989,
50116667,52824533,1960,1
50116668,52824533,1960,1
50116669,52824533,1960,1
50116670,52824533,1960,1
50197576,52825021,1995,2
50197576,52825021,1995,2
50197576,52825021,1995,2
50197577,52825021,1995,2
50113754,52825066,1950,1
50113755,52825066,1950,1
50113756,52825066,1950,1
50113757,52825066,1950,1
50152772,64909278,1980,
50152773,64909278,1980,
50152774,64909278,1980,
50152775,64909278,1980,
50152832,64909285,,
50152834,64909285,,
50152836,64909285,,
50152838,64909285,,
50128136,52825764,1960,
50128137,52825764,1960,
50128138,52825764,1960,
50128139,52825764,1960,
50167210,52827028,1992,
50167211,52827028,1992,
50167211,52827028,1992,
50167211,52827028,1992,
50138621,52826577,,
50138622,52826577,,
50138623,52826577,,
50138624,52826577,,
50167123,52827876,,
50167124,52827876,,
50167124,52827876,,
50167124,52827876,,
50124396,52827056,1970,2
50124397,52827056,1970,2
50124398,52827056,1970,2
50124399,52827056,1970,2
50201564,52827070,1975,
50201564,52827070,1975,
50201565,52827070,1975,
50201565,52827070,1975,
50169851,52826604,1992,
50169851,52826604,1992,
50169852,52826604,1992,
50169852,52826604,1992,
50198893,53391176,1993,
50198893,53391176,1993,
50198893,53391176,1993,
50198894,53391176,1993,
50135058,52828519,,
50135058,52828519,,
50135058,52828519,,
50135058,52828519,,
50167471,52828558,1995,
50167473,52828558,1995,
50167473,52828558,1995,
50167473,52828558,1995,
50193337,52828848,1996,1
50193337,52828848,1996,1
50193337,52828848,1996,1
50193337,52828848,1996,1
50118486,52827249,,
50118487,52827249,,
50118488,52827249,,
50118489,52827249,,
50131458,52829586,,2
50131459,52829586,,2
50131460,52829586,,2
50131461,52829586,,2
50189993,52828642,,
50189994,52828642,,
50189995,52828642,,
50189996,52828642,,
50113332,52828644,1995,1
50113333,52828644,1995,1
50113334,52828644,1995,1
50113335,52828644,1995,1
50185938,52828765,1963,1
50185940,52828765,1963,1
50185940,52828765,1963,1
50185940,52828765,1963,1
50116623,53392329,1960,1
50116624,53392329,1960,1
50116625,53392329,1960,1
50116626,53392329,1960,1
50117444,53392427,,
50117444,53392427,,
50117444,53392427,,
50117444,53392427,,
50200108,52821628,,
50200108,52821628,,
50200109,52821628,,
50200109,52821628,,
50161741,52844473,1991,
50161741,52844473,1991,
50161741,52844473,1991,
50161744,52844473,1991,
50138584,52842559,,
50138585,52842559,,
50138585,52842559,,
50138585,52842559,,
50168591,53394557,1991,
50168592,53394557,1991,
50168592,53394557,1991,
50168592,53394557,1991,
50168604,52842081,1993,1
50168605,52842081,1993,1
50168605,52842081,1993,1
50168605,52842081,1993,1
50188511,52843224,,
50188511,52843224,,
50188512,52843224,,
50188512,52843224,,
50188946,52842635,1990,
50188946,52842635,1990,
50188947,52842635,1990,
50188947,52842635,1990,
50110012,53394922,,
50110014,53394922,,
50110016,53394922,,
50110524,53394922,,
50277216,53394647,1990,
50277216,53394647,1990,
50277216,53394647,1990,
50277216,53394647,1990,
50167842,52843870,1980,
50167841,52843870,1980,
50167841,52843870,1980,
50167841,52843870,1980,
50189469,52878626,1990,
50189469,52878626,1990,
50189469,52878626,1990,
50189469,52878626,1990,
50189619,52878674,,
50189620,52878674,,
50189621,52878674,,
50189622,52878674,,
50277587,53400625,1980,
50277587,53400625,1980,
50277587,53400625,1980,
50277587,53400625,1980,
80377968,52881939,,1
80377969,52881939,,1
80377970,52881939,,1
80377971,52881939,,1
50136852,52881689,,
50136858,52881689,,
50136858,52881689,,
50136861,52881689,,
50277477,52868737,2002,
50277477,52868737,2002,
50277477,52868737,2002,
50277477,52868737,2002,
50162172,52878161,1995,
50162173,52878161,1995,
50162173,52878161,1995,
50162173,52878161,1995,
50188742,52842151,2000,
50188742,52842151,2000,
50188742,52842151,2000,
50188744,52842151,2000,
50151159,52842719,2000,
50151160,52842719,2000,
50151161,52842719,2000,
50151162,52842719,2000,
50150043,53393801,1990,
50150044,53393801,1990,
50150045,53393801,1990,
50150046,53393801,1990,
50197622,52842279,1997,
50197623,52842279,1997,
50197624,52842279,1997,
50197625,52842279,1997,
50199176,52851285,,
50199177,52851285,,
50199178,52851285,,
50199179,52851285,,
50151242,52843702,1980,
50151243,52843702,1980,
50151244,52843702,1980,
50151245,52843702,1980,
50168305,52885336,1980,
50168305,52885336,1980,
50168305,52885336,1980,
50168306,52885336,1980,
50186482,52885425,1960,1
50186483,52885425,1960,1
50186484,52885425,1960,1
50186485,52885425,1960,1
50169560,52885429,1995,
50169560,52885429,1995,
50169560,52885429,1995,
50169561,52885429,1995,
50193866,52901737,2006,1
50193867,52901737,2006,1
50193868,52901737,2006,1
50193869,52901737,2006,1
50193878,52897060,2004,1
50193879,52897060,2004,1
50193880,52897060,2004,1
50193881,52897060,2004,1
50193850,52889244,2006,1
50193851,52889244,2006,1
50193852,52889244,2006,1
50193853,52889244,2006,1
50193697,52899614,2002,
50193700,52899614,2002,
50193701,52899614,2002,
