ParamVaried,wservice,eld_movef,svc_filter,Replicate,PopChange_E,PopChange_NE,PopPctChange_E,PopPctChange_NE,SAServiceAvg_E,SAServiceAvg_NE,SAServiceDelta_E,SAServiceDelta_NE,BldServiceAvg_E,BldServiceAvg_NE,BldServiceDelta_E,BldServiceDelta_NE,NormAssetsCity_Avg_E,NormAssetsCity_Avg_NE,NormAssetsCity_Delta_E,NormAssetsCity_Delta_NE,NormAssetsSA_Avg_E,NormAssetsSA_Avg_NE,NormAssetsSA_Delta_E,NormAssetsSA_Delta_NE,AttemptSA_Avg_E,AttemptSA_Avg_NE,AttemptSA_Delta_E,AttemptSA_Delta_NE,AttemptCity_Avg_E,AttemptCity_Avg_NE,AttemptCity_Delta_E,AttemptCity_Delta_NE,SuccessSA_Avg_E,SuccessSA_Avg_NE,SuccessSA_Delta_E,SuccessSA_Delta_NE,SuccessCity_Avg_E,SuccessCity_Avg_NE,SuccessCity_Delta_E,SuccessCity_Delta_NE
svc_filter_full_factorial,0,0.5,1,4,-75,-453,-1.85643564356436,-1.4158904794649,2.38352877886103,0.573886910473499,0.876026053286502,1.03943616097067,0.843863508873364,0.803527365174583,1.14138153334557,1.04131893544659,1059.83354731798,1349.62853051443,0,-1568.33333333333,30.5620169429371,83.5006528131257,0,-307.5,0.00223200797518357,0.00235504143213909,0,-4.38308130615823e-05,0.00181187610468753,0.0018904711955438,-0.000247524752475248,-6.07161019381791e-05,0.19184903667717,0.360224942796739,0,-0.5,0.582677721381626,0.582564540444548,0,-0.666666666666667
svc_filter_full_factorial,0,0.5,1,5,-90,-496,-2.22606975018551,-1.55043606014191,2.37852583714945,0.574232906033119,0.888531453488848,1.04997287499722,0.838051983733579,0.812146623590961,1.13813184450592,1.06156746065421,1105.01281716409,1244.14047434368,-1,-1667.57142857143,23.6197117156971,99.0520640158978,-164,0,0.00215343794797372,0.00237209810168841,0,-1.80404466814598e-05,0.00187241012369177,0.0019494367030852,0.00152346589868501,3.51970320434969e-05,0.152467666852263,0.377209263810255,-1,0,0.575431897311537,0.585102095832266,-1,-0.571428571428571
svc_filter_full_factorial,0,0.5,1,6,-90,-395,-2.2271714922049,-1.23472226563721,2.38055662519029,0.570414857472247,0.873904655189372,1.03398357249658,0.84274379258565,0.802946047575143,1.14360139901508,1.04546876889402,1054.82925137592,1458.31695727715,0,-1610.88888888889,32.2044100708505,63.7344970480597,0,0,0.00216188819835835,0.0023123582385308,0,0,0.00181898725980564,0.00187659806688463,0.000253100480890914,-9.14316684419753e-05,0.165510262075845,0.363458053012243,0,0,0.58818200371285,0.608274489564566,0,-0.555555555555556
svc_filter_full_factorial,0,0.5,1,7,-97,-408,-2.4009900990099,-1.27539856205064,2.39108625928291,0.578184821230068,0.900999945901741,1.05036761585252,0.848017711569014,0.811361280325096,1.15567869310759,1.06427310382378,1219.72753159829,1377.26179484343,-4233,-3493.83333333333,40.7632362050917,89.2623327100386,0,-306.5,0.00220981838101154,0.00243923162040778,-0.000124285359184688,-9.68290056819606e-05,0.00183178653175001,0.00189608801945863,-0.000247524752475248,0.000224068264002376,0.333297788928101,0.376856840969918,0,-0.5,0.459993623312529,0.608067045647741,-1,-1
svc_filter_full_factorial,0,0.5,1,8,-82,-319,-2.0292006928978,-0.997155449970304,2.3894759593185,0.582262334028999,0.881403031723262,1.05480278891586,0.862281018450271,0.818308571983589,1.16901144056898,1.06355860931088,1017.20260377968,1394.81487068611,-4615,-1032,50.1772603485839,69.775502093346,0,0,0.00219009312635963,0.00238391779434886,0,0,0.00181595125186587,0.00184542571264429,0.00176812326345037,0.000221959922439351,0.217238562091503,0.321844621527687,0,0,0.447627664641394,0.594194776937541,-1,-0.333333333333333
svc_filter_full_factorial,0,0.5,1,9,-83,-383,-2.05445544554455,-1.19702462807851,2.3873402229604,0.577053863458178,0.897638736218408,1.04763429499191,0.841802220770371,0.809656762126587,1.13830584004586,1.05244712756694,936.962660836706,1352.46963233715,0,-2327.33333333333,51.1710495164721,45.3948942429021,0,-203.666666666667,0.00220762467069706,0.00233504272496071,0,0,0.0018205341096144,0.00186215571128344,-0.000247524752475248,0.000285828954507397,0.300204312293514,0.291685934426563,0,-0.333333333333333,0.542675273550596,0.588595132313604,0,-1
svc_filter_full_factorial,0,0.5,1,10,-76,-363,-1.88118811881188,-1.13483602713602,2.36895423325685,0.573003038255361,0.833915023587211,1.0263642381506,0.823609179533642,0.799987265152944,1.10164534947204,1.03389600752814,1321.7090020411,1396.7942519484,-4685,-2344.5,49.6556604951885,54.8911240391737,0,-227,0.00204439440300832,0.00237134073693222,0,0,0.00177920494759802,0.00187927087594868,0,0.000222068578312128,0.214005836746667,0.297181843695127,0,-0.5,0.665676693016953,0.581308496052506,-1,-0.5
svc_filter_full_factorial,0,1,0,1,-103,-532,-2.54887404107894,-1.66281177720823,2.38039473988076,0.569862720025405,0.870906449798675,1.03374302160514,0.846507877863942,0.801706091939134,1.15080763796465,1.04715453030846,675.848646770961,1446.76865203614,-2336.5,-3223.28571428571,72.5330360898641,86.3850710149178,0,0,0.00214132244483561,0.00234444064716399,0,-3.39477883015922e-05,0.00172115114948241,0.0019554416676797,0.000507872016251904,0.000194405849100648,0.283117166020087,0.338098739026863,0,0,0.535248816259047,0.594895533945761,-0.5,-0.857142857142857
svc_filter_full_factorial,0,1,0,2,-109,-473,-2.6980198019802,-1.47821738858679,2.37239334434108,0.572842120169048,0.840297102536626,1.02870520066309,0.831765865359867,0.805409080950431,1.12057128594641,1.04295775251117,1276.96599216447,1343.18842440512,-3232,-1812.125,101.86713550231,108.078317525323,-296,-240,0.00222755127969921,0.00237151513338412,0,-6.18624766628661e-05,0.00172204378794075,0.00195831706119093,-0.000247524752475248,-9.1411343661001e-05,0.25541754756871,0.399670173766972,-0.5,-0.5,0.520846277261739,0.580598038407416,-1,-0.625
svc_filter_full_factorial,0,1,0,3,-96,-566,-2.37564959168523,-1.76913699871847,2.37873654731934,0.5785829258565,0.893314026767625,1.06093226672341,0.854991369976376,0.81349202630755,1.16639888163785,1.06309666448382,1433.31046452477,1436.04121699639,-2608.5,-2023.14285714286,93.4763818794658,121.206156528723,-852,0,0.00223066011823246,0.00238949789668402,0,0,0.00177158459553594,0.00196799040159667,0.00126742712294043,0.000258498730070013,0.275578675796885,0.368945272095163,-1,0,0.595147925033467,0.580749194877292,-1,-0.714285714285714
svc_filter_full_factorial,0,1,0,4,-109,-435,-2.6980198019802,-1.35971492873218,2.38882810981356,0.579526944600809,0.897283961671962,1.05620887785161,0.849681316624416,0.82073306539324,1.15009940815217,1.07086680388956,1346.7482271579,1345.74698200049,-2159.5,-489,40.9380334949714,34.857499168452,0,0,0.00229564846035233,0.00234764737927178,0,0,0.00182491413422789,0.00190619477287898,0.00178071737471381,0.000127616512931351,0.191346357155992,0.238377709394495,0,0,0.607904325111867,0.587921126596223,-1,-0.5
