ParamVaried,wservice,eld_movef,svc_filter,Replicate,PopChange_E,PopChange_NE,SAServiceAvg_E,SAServiceAvg_NE,SAServiceDelta_E,SAServiceDelta_NE,BldServiceAvg_E,BldServiceAvg_NE,BldServiceDelta_E,BldServiceDelta_NE,NormAssetsCity_Avg_E,NormAssetsCity_Avg_NE,NormAssetsCity_Delta_E,NormAssetsCity_Delta_NE,NormAssetsSA_Avg_E,NormAssetsSA_Avg_NE,NormAssetsSA_Delta_E,NormAssetsSA_Delta_NE,AttemptSA_Avg_E,AttemptSA_Avg_NE,AttemptSA_Delta_E,AttemptSA_Delta_NE,AttemptCity_Avg_E,AttemptCity_Avg_NE,AttemptCity_Delta_E,AttemptCity_Delta_NE,SuccessSA_Avg_E,SuccessSA_Avg_NE,SuccessSA_Delta_E,SuccessSA_Delta_NE,SuccessCity_Avg_E,SuccessCity_Avg_NE,SuccessCity_Delta_E,SuccessCity_Delta_NE
eld_movef,0,0.5,0,4,-60,-427,2.39867683312943,0.586116228881557,0.895151291863784,1.05494659081941,0.874402003746129,0.839222528170775,1.14696113307934,1.06340440674427,1150.10652052239,1392.85639631192,NaN,-2226.55555555556,83.9222194312573,80.858897245025,NaN,NaN,0.00217647475811676,0.00242818439076443,0,-1.4333218667584e-05,0.00151896534202879,0.00189450412384226,0,-0.000186307270028069,0.394833249532639,0.346183435489718,NaN,NaN,0.542455521306511,0.57457068328075,NaN,-0.888888888888889
eld_movef,0,0.5,0,5,-71,-389,2.38897531012755,0.579891241854523,0.882106573405413,1.03551745058665,0.871263985198079,0.837628494280501,1.13261321726489,1.05049451274212,1268.52852705309,1382.51619991568,NaN,-3038.25,90.0240741605333,78.1260707712788,NaN,NaN,0.00218007856638037,0.00246350831823141,0,0,0.00150476648041119,0.00188110009445542,0.00151171579743008,0.000159751832398501,0.34620879581192,0.366086019792879,NaN,NaN,0.558212077127898,0.592465460677767,NaN,-0.75
eld_movef,0,0.75,0,1,-95,-362,2.38758214382121,0.572040308769796,0.877290476260181,1.01426454427406,0.849026488419701,0.826227298489347,1.09930795425204,1.03101049866508,1396.50017376266,1395.59464084445,-2357,-3071,58.3248313303816,70.1648297877765,NaN,-135.5,0.00217297957931591,0.00241920084199962,0,-0.00010612331529237,0.00159761558867431,0.00186947598251137,0.000259311683868657,0.00012860452881366,0.356186804571897,0.317606101463669,NaN,-0.5,0.596261732657245,0.596482690849586,-1,-0.833333333333333
eld_movef,0,0.75,0,2,-92,-392,2.4054298298326,0.58753219157856,0.915308629133922,1.05933020864114,0.885822687594833,0.844527869622436,1.15592520748297,1.06191418094368,529.39262012172,1267.23896662641,NaN,-2913.16666666667,143.448208146143,81.1073379361547,NaN,0,0.00221737064348108,0.0024463690995788,0,-1.32796834123475e-05,0.00156510077716391,0.0019066736808915,0,3.39675100825396e-05,0.4514044700034,0.376162013706146,NaN,0,0.446147994221843,0.592233886912018,NaN,-1
eld_movef,0,0.75,0,3,-89,-469,2.37406408713668,0.569628199064585,0.84768214421593,1.01189464612745,0.843178662649273,0.818508804748785,1.08859091248075,1.02101578905487,1170.12989908854,1395.32412631701,NaN,-2942.8,98.2771572735344,91.8312511064894,NaN,NaN,0.00215754722227172,0.00240878347049411,0,-5.67297936319802e-05,0.00162687477751922,0.00192542387565455,0,-9.05235140034114e-05,0.360561031276597,0.372702579880908,NaN,NaN,0.581852213541667,0.599299907104155,NaN,-0.8
eld_movef,0,0.75,0,4,-86,-465,2.38483740362055,0.57131567690964,0.871556174971674,1.01660456868788,0.847164987517761,0.823113345209991,1.1020650977284,1.0351700812603,1215.47870801237,1478.48499292519,NaN,-3371.66666666667,79.8399447768437,50.2578768697252,NaN,NaN,0.00219092163985149,0.00240934635083708,0,0,0.00168016588566741,0.00190162776445065,0,0.000161360399096824,0.255630136332925,0.33334247696929,NaN,NaN,0.566203521132932,0.595062790648283,NaN,-1
eld_movef,0,0.75,0,5,-81,-376,2.37388977140502,0.573849647860941,0.836008968033032,1.00954729326036,0.863803257977649,0.82549034211407,1.11852853118125,1.02657051666358,1015.88034667877,1397.22391663301,-2716.33333333333,-2344.5,97.9791574473675,94.4986777581602,NaN,-884,0.00219755861269919,0.00239768247581409,0,-3.9109859595604e-05,0.00161736690584584,0.00187556452288939,-0.000489745328681513,3.31121402825575e-05,0.358678803598834,0.38771160098462,NaN,-1,0.556973207987556,0.591238051769139,-1,-0.75
eld_movef,0,1,0,1,-94,-338,2.38885994120296,0.574631975361727,0.876245652634569,1.01635857992354,0.855046868503448,0.821020225332092,1.11125314938764,1.02622585107057,1136.96460901524,1336.45908712257,-1385,-1333.8,75.5092430376275,71.9018492268619,0,0,0.0021824539469816,0.0024383416557052,-6.97495989398061e-05,-1.45585837409737e-05,0.00168549420087643,0.0018812606871763,0.000512607440820518,-6.15143202620014e-05,0.319999365189002,0.355146462208446,0,0,0.521761789091066,0.586625508297254,-1,-0.4
eld_movef,0,1,0,2,-88,-381,2.39270902516547,0.586268579046781,0.880624894530072,1.05719969166282,0.861606065679083,0.846977720402283,1.13370909453066,1.08203692991806,1096.23835523095,1412.04726620799,NaN,-2693,85.4614801059991,74.8435009499746,NaN,NaN,0.00227323791428475,0.00242557212659932,0,0,0.00170891996730772,0.00186114856758291,0.000252972426005565,0.000159303017364857,0.335718884425591,0.309503241515099,NaN,NaN,0.641188534318979,0.583785597076986,NaN,-1
eld_movef,0,1,0,3,-90,-482,2.38418206944697,0.578937949485442,0.864153773046752,1.02943560641499,0.866015080294443,0.835800373226116,1.12544466589747,1.04761971634189,1161.77094044527,1304.44424809449,-4689,-1263.6,101.162064206807,79.5631139302886,NaN,-294.333333333333,0.00220345153892252,0.00245253994073599,-0.000857771663557615,-6.45526168783629e-05,0.00168626156960199,0.00191528958845737,-0.00024188494798847,0.00012931364623858,0.413968377857067,0.358925821750419,NaN,-0.333333333333333,0.554197787302455,0.578712213871083,-1,-0.8
