locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt.1,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
30001315,0,0,66.1,89.0,0.3,2.4,2.1,2.2,4.1,70.4,15.9,32.4,28.9,2.6,30.0,32.2,13.2,11.3,5.5,3.9,3.9,,36.3,27.3,15.8,12.0,8.6,938.0,276.0,586.0,1475.0,693.0,111600,8.982035928,11.27744511,10.17964072,7.684630739,9.181636727,8.283433134,8.78243513,13.87225549,12.6746507,9.081836327,ירושלים,1,31,,,0.165
30001321,0,0,55.5,88.45,1.8,2.9,4.2,2.8,4.1,60.8,14.6,18.1,39.7,2.1,40.4,38.1,9.2,5.7,3.4,1.3,1.9,,40.2,29.4,13.3,8.9,8.1,469.0,95.0,583.0,835.0,623.0,79300,19.7,12.6,12.0,6.4,7.1,9.0,8.0,5.9,9.8,9.5,ירושלים,1,31,,,0.156
30001322,0,0,68.9,76.3,1.6,0.0,3.4,1.6,2.8,67.7,11.8,16.0,28.9,2.0,45.3,35.3,8.6,2.6,4.1,2.6,1.5,,31.3,22.0,25.7,16.1,4.9,271.0,32.0,359.0,501.0,271.0,81600,14.8,15.1,12.6,12.3,7.7,9.8,6.9,9.4,5.5,5.9,ירושלים,1,31,,,0.196
30001331,0,0,53.0,78.2,3.5,2.4,4.1,5.4,6.3,68.7,14.6,23.6,48.4,2.4,29.8,37.9,12.5,9.5,5.9,3.2,1.3,,31.0,28.2,24.7,10.7,5.4,333.0,94.0,182.0,580.0,699.0,127300,11.1,7.6,4.3,10.9,7.8,8.8,11.4,15.7,11.9,10.5,ירושלים,1,31,,,0.189
30001333,0,0,62.8,77.2,1.7,3.6,1.5,1.9,5.9,64.4,18.5,28.3,41.3,2.5,34.4,29.3,12.5,8.2,10.3,4.0,1.3,,26.5,34.3,26.8,9.0,3.4,420.0,139.0,355.0,706.0,594.0,100400,15.18481518,13.88611389,6.393606394,6.893106893,11.48851149,5.994005994,4.595404595,6.293706294,14.78521479,14.48551449,ירושלים,1,31,,,0.09
30001334,0,0,52.0,82.45,1.7,2.5,3.1,2.2,5.2,74.9,19.0,40.0,29.3,3.2,21.1,31.1,11.1,12.2,7.6,10.5,6.4,,26.8,29.3,23.7,14.6,5.5,1192.0,445.0,1004.0,1701.0,830.0,118400,11.01101101,7.607607608,10.61061061,10.21021021,5.805805806,10.51051051,14.61461461,8.808808809,8.508508509,12.31231231,ירושלים,1,31,,,0.135
30001335,0,0,66.9,80.2,0.6,0.9,2.2,4.3,5.8,59.0,12.2,29.0,31.7,2.6,27.6,38.5,8.5,12.7,6.6,2.7,3.5,,24.3,36.4,19.4,8.7,11.2,856.0,238.0,562.0,1242.0,676.0,103500,11.72344689,12.7254509,8.71743487,6.412825651,10.52104208,10.12024048,9.118236473,8.316633267,8.817635271,13.52705411,ירושלים,1,31,,,0.128
30001337,0,0,61.4,71.1,0.5,1.2,4.1,1.9,1.9,72.5,23.1,29.1,35.9,2.5,30.1,30.3,17.0,10.1,9.0,3.2,0.3,,35.2,31.1,26.0,6.6,1.1,220.0,65.0,80.0,405.0,234.0,130700,8.1,8.9,9.3,8.2,4.9,9.8,10.5,12.2,9.1,19.0,ירושלים,1,31,,,0.079
30001422,0,0,47.7,92.1,0.5,2.0,4.4,2.3,2.0,36.3,1.5,34.2,17.1,2.8,41.2,21.1,13.6,7.6,1.4,4.5,10.6,,32.3,19.4,11.1,11.5,25.7,328.0,104.0,238.0,345.0,138.0,84900,10.7,10.9,16.1,12.2,13.9,8.0,12.2,8.2,6.4,1.4,ירושלים,1,31,,,0.222
30001423,0,0,67.8,96.95,1.6,0.2,5.1,2.3,5.2,46.4,3.9,13.7,13.0,1.8,62.6,19.3,7.9,4.3,0.9,2.7,2.3,,34.5,36.2,10.1,6.8,12.4,172.0,65.0,454.0,482.0,93.0,52000,22.72272272,23.72372372,11.31131131,11.11111111,8.108108108,9.109109109,7.707707708,2.102102102,4.104104104,0.0,ירושלים,1,31,,,0.114
30001424,0,0,74.5,91.25,0.0,4.5,7.2,4.5,7.6,29.7,4.4,5.3,15.4,1.5,66.4,25.6,3.2,1.5,1.5,1.6,0.3,,30.1,37.4,27.4,0.0,5.0,140.0,83.0,1001.0,749.0,174.0,65400,16.31631632,19.11911912,14.01401401,14.21421421,8.608608609,9.50950951,6.906906907,1.701701702,5.405405405,4.204204204,ירושלים,1,31,,,0.148
30001425,0,0,66.6,86.6,1.7,1.6,6.2,0.7,4.4,36.0,10.5,10.7,17.4,1.8,56.3,27.8,5.2,6.9,1.2,2.1,0.4,,12.2,59.8,4.5,19.6,3.9,113.0,47.0,751.0,285.0,162.0,51900,20.0,27.1,11.6,10.3,7.1,5.0,8.9,2.4,4.6,3.0,ירושלים,1,31,,,0.143
30001426,0,0,55.0,77.45,1.0,1.6,1.0,0.3,4.0,56.2,10.0,23.2,35.2,2.3,50.2,18.2,11.9,5.9,3.3,9.2,1.3,,21.6,23.6,34.7,14.6,5.6,138.0,44.0,282.0,281.0,217.0,75500,25.8,14.2,7.5,8.3,4.9,7.0,3.3,10.2,12.9,5.9,ירושלים,1,31,,,0.173
30001432,0,0,69.5,80.75,0.5,2.2,2.1,2.0,1.4,44.4,4.7,16.3,25.5,2.0,42.0,39.7,8.9,3.2,3.7,1.2,1.2,,48.5,29.7,9.4,4.7,7.6,148.0,47.0,273.0,339.0,155.0,77400,24.2,10.6,10.9,5.9,9.9,15.8,8.3,0.7,9.2,4.5,ירושלים,1,31,,,0.142
30001433,0,0,65.3,86.2,1.6,1.7,4.3,3.9,5.8,42.2,9.3,22.8,25.4,2.3,46.6,26.1,11.1,2.7,3.5,4.0,5.9,,34.8,16.2,25.4,9.2,14.3,665.0,200.0,805.0,1044.0,336.0,67800,11.48851149,13.28671329,18.48151848,17.78221778,8.991008991,7.792207792,4.795204795,8.191808192,4.995004995,4.195804196,ירושלים,1,31,,,0.173
30001434,0,0,74.2,95.45,2.6,4.7,3.2,5.5,5.3,49.5,7.3,11.1,19.0,1.8,54.4,26.1,11.0,4.1,2.4,2.1,,,35.1,28.2,21.7,15.1,0.0,253.0,155.0,613.0,653.0,173.0,73600,13.8,12.9,13.1,15.4,9.2,6.4,12.4,9.7,2.3,4.8,ירושלים,1,31,,,0.165
30001435,0,0,71.4,87.75,1.3,1.4,4.0,0.8,3.6,40.1,6.6,21.9,15.3,2.2,52.1,23.4,7.5,5.1,3.8,3.1,5.1,,27.5,13.6,21.0,21.5,16.4,438.0,137.0,619.0,737.0,178.0,61900,23.3,14.9,12.5,4.6,9.2,11.7,5.3,6.6,8.0,3.9,ירושלים,1,31,,,0.12
30001436,0,0,77.9,83.3,1.0,1.3,1.4,0.0,6.5,42.6,5.0,15.2,20.7,2.1,50.2,27.6,8.0,6.1,2.8,1.0,4.2,,26.8,48.9,7.0,0.0,17.4,155.0,55.0,264.0,325.0,117.0,60300,17.0,24.9,13.1,11.6,12.7,3.3,4.6,5.8,3.1,3.9,ירושלים,1,31,,,0.096
30001437,0,0,67.2,84.85,2.9,1.3,4.9,2.6,5.4,48.3,6.4,15.3,22.3,2.0,43.1,36.7,9.1,3.8,3.0,1.9,2.4,,27.4,28.9,16.0,16.3,11.4,233.0,64.0,354.0,465.0,185.0,99400,5.1,17.4,9.2,16.3,5.8,12.0,5.9,11.6,7.6,9.1,ירושלים,1,31,,,0.247
30001441,0,0,37.0,80.65,7.5,6.1,4.3,11.6,12.6,36.2,7.0,14.5,66.4,2.3,33.6,39.0,13.1,5.2,2.1,2.6,4.4,,20.6,16.9,13.7,20.3,28.5,191.0,66.0,156.0,277.0,449.0,69500,15.98401598,17.18281718,14.68531469,7.592407592,7.592407592,11.28871129,10.78921079,10.08991009,3.996003996,0.799200799,ירושלים,1,31,,,0.104
30001442,0,0,54.0,77.7,3.3,3.6,2.2,1.3,2.5,49.8,10.8,25.2,29.2,2.6,37.3,31.1,10.9,8.3,2.6,1.4,8.3,,21.2,24.7,26.4,1.9,25.9,422.0,111.0,350.0,412.0,230.0,61100,17.38261738,17.68231768,14.88511489,12.28771229,17.48251748,3.496503497,4.395604396,5.394605395,2.897102897,4.095904096,ירושלים,1,31,,,0.063
30001443,0,0,67.6,86.4,2.5,1.1,3.4,1.9,3.8,50.3,6.8,17.6,27.2,2.1,45.0,31.9,9.4,5.2,2.8,3.2,2.4,,26.8,28.3,14.3,16.9,13.6,647.0,152.0,989.0,1029.0,548.0,73500,21.67832168,12.38761239,10.08991009,8.991008991,10.48951049,6.793206793,8.691308691,3.996003996,9.99000999,6.893106893,ירושלים,1,31,,,0.133
30001444,0,0,71.7,82.9,1.4,0.5,1.7,1.7,3.6,62.4,14.1,13.0,23.6,1.9,48.1,31.5,9.7,4.6,4.1,1.3,0.6,,32.9,29.7,24.4,8.7,4.4,374.0,105.0,889.0,999.0,525.0,88000,15.2,16.6,8.3,8.9,10.7,7.3,9.7,7.4,6.4,9.5,ירושלים,1,31,,,0.137
30001511,0,0,56.7,88.3,1.6,2.5,1.3,1.6,3.3,43.7,8.7,58.4,19.5,4.1,12.9,25.0,12.1,12.1,9.5,8.0,20.5,,24.0,20.2,12.9,12.3,30.5,1524.0,419.0,533.0,1152.0,539.0,66500,17.7,18.4,11.0,10.9,8.9,8.5,7.3,7.4,4.8,5.1,ירושלים,1,31,,,0.083
30001513,0,0,54.7,93.0,1.6,3.5,1.7,2.6,4.6,42.6,7.6,41.9,30.3,3.6,22.3,26.5,13.2,8.9,5.7,7.9,15.5,,20.5,16.5,14.6,17.7,30.7,1108.0,283.0,507.0,813.0,403.0,69300,16.06786427,17.06586826,15.76846307,10.07984032,9.281437126,5.389221557,5.988023952,9.880239521,7.185628743,3.293413174,ירושלים,1,31,,,0.096
